customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_score_avg,segment
71,34,2,99.75999999999999,5,4,3,543,4.0,Loyal Customers
72,219,2,161.26999999999998,4,4,4,444,4.0,Champions
73,82,1,319.61,5,1,5,515,3.6666666666666665,New Customers
74,35,3,217.19,5,5,4,554,4.666666666666667,Champions
75,9,2,68.4,5,4,2,542,3.6666666666666665,Potential
77,369,1,41.65,3,1,1,311,1.6666666666666667,Potential
79,32,3,174.82000000000002,5,5,4,554,4.666666666666667,Champions
81,975,1,76.56,1,1,2,112,1.3333333333333333,Lost
82,573,2,48.16,2,4,2,242,2.6666666666666665,At Risk
84,350,1,216.19,3,1,4,314,2.6666666666666665,Potential
86,23,3,624.27,5,5,5,555,5.0,Champions
87,503,1,68.17,3,1,2,312,2.0,Potential
88,188,1,52.69,4,1,2,412,2.3333333333333335,New Customers
93,973,1,15.43,1,1,1,111,1.0,Lost
95,110,4,490.71000000000004,5,5,5,555,5.0,Champions
99,225,2,194.5,4,4,4,444,4.0,Champions
100,207,2,249.56,4,4,5,445,4.333333333333333,Champions
101,393,2,312.31,3,4,5,345,4.0,Loyal Customers
102,97,2,68.17,5,4,2,542,3.6666666666666665,Potential
104,216,4,395.34,4,5,5,455,4.666666666666667,Champions
106,730,3,364.64,2,5,5,255,4.0,At Risk
108,77,1,19.79,5,1,1,511,2.3333333333333335,New Customers
110,217,1,287.09,4,1,5,415,3.3333333333333335,New Customers
111,4,2,95.32000000000001,5,4,3,543,4.0,Loyal Customers
112,325,1,26.64,3,1,1,311,1.6666666666666667,Potential
113,712,1,77.29,2,1,2,212,1.6666666666666667,Lost
115,48,1,151.56,5,1,4,514,3.3333333333333335,New Customers
118,999,1,44.1,1,1,1,111,1.0,Lost
119,619,1,104.12,2,1,3,213,2.0,Lost
120,387,1,19.46,3,1,1,311,1.6666666666666667,Potential
121,925,1,33.92,1,1,1,111,1.0,Lost
122,676,1,37.34,2,1,1,211,1.3333333333333333,Lost
123,126,2,22.89,5,4,1,541,3.3333333333333335,Potential
124,567,3,264.94000000000005,2,5,5,255,4.0,At Risk
125,144,2,174.45999999999998,4,4,4,444,4.0,Champions
126,483,1,40.18,3,1,1,311,1.6666666666666667,Potential
127,554,1,75.08,2,1,2,212,1.6666666666666667,Lost
128,455,2,197.32,3,4,4,344,3.6666666666666665,Loyal Customers
129,662,2,96.6,2,4,3,243,3.0,At Risk
132,137,1,83.65,5,1,3,513,3.0,New Customers
133,562,1,42.58,2,1,1,211,1.3333333333333333,Lost
134,6,1,75.76,5,1,2,512,2.6666666666666665,New Customers
135,629,3,561.3,2,5,5,255,4.0,At Risk
136,111,1,195.18,5,1,4,514,3.3333333333333335,New Customers
138,708,1,57.72,2,1,2,212,1.6666666666666667,Lost
139,10,3,163.51999999999998,5,5,4,554,4.666666666666667,Champions
141,71,1,95.23,5,1,3,513,3.0,New Customers
142,128,2,60.78,5,4,2,542,3.6666666666666665,Potential
144,154,1,39.2,4,1,1,411,2.0,New Customers
145,324,2,366.85,4,4,5,445,4.333333333333333,Champions
146,725,1,73.01,2,1,2,212,1.6666666666666667,Lost
149,57,1,70.27,5,1,2,512,2.6666666666666665,New Customers
152,1052,1,100.06,1,1,3,113,1.6666666666666667,Lost
153,51,1,42.41,5,1,1,511,2.3333333333333335,New Customers
154,312,1,267.66,4,1,5,415,3.3333333333333335,New Customers
159,624,1,48.76,2,1,2,212,1.6666666666666667,Lost
160,126,2,67.52,5,4,2,542,3.6666666666666665,Potential
161,763,1,230.76,2,1,5,215,2.6666666666666665,Lost
162,327,2,410.12,3,4,5,345,4.0,Loyal Customers
164,191,1,79.31,4,1,2,412,2.3333333333333335,New Customers
165,951,1,161.9,1,1,4,114,2.0,Lost
166,3,1,42.42,5,1,1,511,2.3333333333333335,New Customers
167,551,2,179.14,2,4,4,244,3.3333333333333335,At Risk
168,928,1,82.85,1,1,3,113,1.6666666666666667,Lost
169,746,1,29.13,2,1,1,211,1.3333333333333333,Lost
173,62,1,14.16,5,1,1,511,2.3333333333333335,New Customers
175,277,1,85.89,4,1,3,413,2.6666666666666665,New Customers
176,203,1,117.68,4,1,3,413,2.6666666666666665,New Customers
177,454,1,73.08,3,1,2,312,2.0,Potential
178,421,3,242.51,3,5,5,355,4.333333333333333,Loyal Customers
179,59,1,310.08,5,1,5,515,3.6666666666666665,New Customers
181,1082,1,9.49,1,1,1,111,1.0,Lost
186,624,3,125.67,2,5,3,253,3.3333333333333335,At Risk
187,616,1,69.16,2,1,2,212,1.6666666666666667,Lost
192,861,1,128.98,1,1,3,113,1.6666666666666667,Lost
194,354,2,64.29,3,4,2,342,3.0,Potential
196,549,1,162.37,2,1,4,214,2.3333333333333335,Lost
197,856,1,57.39,1,1,2,112,1.3333333333333333,Lost
198,504,3,233.64999999999998,3,5,5,355,4.333333333333333,Loyal Customers
199,426,2,186.57999999999998,3,4,4,344,3.6666666666666665,Loyal Customers
207,179,2,323.55999999999995,4,4,5,445,4.333333333333333,Champions
209,616,2,202.43,2,4,4,244,3.3333333333333335,At Risk
210,1025,1,69.28,1,1,2,112,1.3333333333333333,Lost
214,910,2,139.2,1,4,4,144,3.0,At Risk
217,454,3,561.31,3,5,5,355,4.333333333333333,Loyal Customers
219,729,1,9.04,2,1,1,211,1.3333333333333333,Lost
220,88,1,141.85,5,1,4,514,3.3333333333333335,New Customers
222,482,1,73.46,3,1,2,312,2.0,Potential
224,100,3,486.09000000000003,5,5,5,555,5.0,Champions
225,101,1,94.48,5,1,3,513,3.0,New Customers
226,773,1,266.82,2,1,5,215,2.6666666666666665,Lost
227,754,1,41.88,2,1,1,211,1.3333333333333333,Lost
228,303,1,40.4,4,1,1,411,2.0,New Customers
233,822,1,43.46,1,1,1,111,1.0,Lost
236,817,2,110.28,1,4,3,143,2.6666666666666665,At Risk
237,961,1,62.14,1,1,2,112,1.3333333333333333,Lost
238,220,1,44.34,4,1,1,411,2.0,New Customers
239,849,1,466.36,1,1,5,115,2.3333333333333335,Lost
240,186,1,44.77,4,1,1,411,2.0,New Customers
241,595,2,330.43,2,4,5,245,3.6666666666666665,At Risk
242,886,1,76.74,1,1,2,112,1.3333333333333333,Lost
245,78,1,94.17,5,1,3,513,3.0,New Customers
248,475,1,97.64,3,1,3,313,2.3333333333333335,Potential
249,1043,1,91.96,1,1,3,113,1.6666666666666667,Lost
252,23,2,60.489999999999995,5,4,2,542,3.6666666666666665,Potential
254,319,1,141.47,4,1,4,414,3.0,New Customers
255,126,5,881.44,5,5,5,555,5.0,Champions
256,173,1,185.62,4,1,4,414,3.0,New Customers
257,148,2,122.64,4,4,3,443,3.6666666666666665,Loyal Customers
258,61,1,48.7,5,1,2,512,2.6666666666666665,New Customers
260,233,2,148.67000000000002,4,4,4,444,4.0,Champions
262,321,1,139.69,4,1,4,414,3.0,New Customers
265,404,1,40.62,3,1,1,311,1.6666666666666667,Potential
267,1018,1,74.75,1,1,2,112,1.3333333333333333,Lost
268,866,1,156.84,1,1,4,114,2.0,Lost
270,97,2,131.7,5,4,3,543,4.0,Loyal Customers
271,920,1,88.94,1,1,3,113,1.6666666666666667,Lost
273,328,2,151.49,3,4,4,344,3.6666666666666665,Loyal Customers
274,269,3,192.06,4,5,4,454,4.333333333333333,Champions
275,380,1,37.83,3,1,1,311,1.6666666666666667,Potential
277,401,5,321.46999999999997,3,5,5,355,4.333333333333333,Loyal Customers
278,45,2,278.58000000000004,5,4,5,545,4.666666666666667,Champions
281,59,1,124.35,5,1,3,513,3.0,New Customers
282,98,2,120.79999999999998,5,4,3,543,4.0,Loyal Customers
284,224,2,132.75,4,4,3,443,3.6666666666666665,Loyal Customers
286,422,1,124.35,3,1,3,313,2.3333333333333335,Potential
289,38,2,149.75,5,4,4,544,4.333333333333333,Champions
290,433,2,194.07999999999998,3,4,4,344,3.6666666666666665,Loyal Customers
292,156,3,103.01,4,5,3,453,4.0,Loyal Customers
295,194,2,138.10999999999999,4,4,4,444,4.0,Champions
298,622,1,65.23,2,1,2,212,1.6666666666666667,Lost
300,108,1,25.29,5,1,1,511,2.3333333333333335,New Customers
301,810,1,83.12,1,1,3,113,1.6666666666666667,Lost
302,573,2,231.35,2,4,5,245,3.6666666666666665,At Risk
304,351,1,17.16,3,1,1,311,1.6666666666666667,Potential
305,798,1,11.68,1,1,1,111,1.0,Lost
306,85,2,128.02,5,4,3,543,4.0,Loyal Customers
309,485,1,18.41,3,1,1,311,1.6666666666666667,Potential
310,926,1,166.81,1,1,4,114,2.0,Lost
312,779,1,52.88,1,1,2,112,1.3333333333333333,Lost
313,176,2,177.94,4,4,4,444,4.0,Champions
314,83,1,41.7,5,1,1,511,2.3333333333333335,New Customers
315,354,1,91.34,3,1,3,313,2.3333333333333335,Potential
316,576,2,41.59,2,4,1,241,2.3333333333333335,At Risk
317,342,1,55.59,3,1,2,312,2.0,Potential
318,52,1,58.42,5,1,2,512,2.6666666666666665,New Customers
319,359,2,175.45,3,4,4,344,3.6666666666666665,Loyal Customers
320,717,1,43.64,2,1,1,211,1.3333333333333333,Lost
321,230,2,108.41,4,4,3,443,3.6666666666666665,Loyal Customers
322,444,1,367.02,3,1,5,315,3.0,Potential
326,719,2,376.65,2,4,5,245,3.6666666666666665,At Risk
327,370,2,72.66,3,4,2,342,3.0,Potential
328,395,1,66.24,3,1,2,312,2.0,Potential
329,132,1,401.49,5,1,5,515,3.6666666666666665,New Customers
330,862,1,187.48,1,1,4,114,2.0,Lost
332,396,2,228.41000000000003,3,4,5,345,4.0,Loyal Customers
334,154,1,18.24,4,1,1,411,2.0,New Customers
335,44,5,447.31,5,5,5,555,5.0,Champions
337,955,1,46.89,1,1,2,112,1.3333333333333333,Lost
339,211,3,321.68,4,5,5,455,4.666666666666667,Champions
340,201,2,170.01,4,4,4,444,4.0,Champions
342,23,1,47.46,5,1,2,512,2.6666666666666665,New Customers
345,447,2,94.46000000000001,3,4,3,343,3.3333333333333335,Loyal Customers
348,803,1,150.54,1,1,4,114,2.0,Lost
349,685,1,33.38,2,1,1,211,1.3333333333333333,Lost
350,885,1,94.22,1,1,3,113,1.6666666666666667,Lost
351,142,2,186.48000000000002,4,4,4,444,4.0,Champions
356,604,1,128.96,2,1,3,213,2.0,Lost
357,406,1,133.76,3,1,4,314,2.6666666666666665,Potential
358,768,1,36.21,2,1,1,211,1.3333333333333333,Lost
359,741,3,137.9,2,5,4,254,3.6666666666666665,At Risk
360,603,2,41.129999999999995,2,4,1,241,2.3333333333333335,At Risk
361,90,1,121.81,5,1,3,513,3.0,New Customers
362,798,1,63.7,1,1,2,112,1.3333333333333333,Lost
363,45,2,132.93,5,4,3,543,4.0,Loyal Customers
364,154,1,153.22,4,1,4,414,3.0,New Customers
365,1052,1,29.26,1,1,1,111,1.0,Lost
366,980,1,21.33,1,1,1,111,1.0,Lost
371,741,3,356.66,2,5,5,255,4.0,At Risk
372,488,1,68.64,3,1,2,312,2.0,Potential
373,25,3,280.02,5,5,5,555,5.0,Champions
374,891,1,166.68,1,1,4,114,2.0,Lost
376,986,1,90.28,1,1,3,113,1.6666666666666667,Lost
380,858,1,20.67,1,1,1,111,1.0,Lost
381,376,3,381.7,3,5,5,355,4.333333333333333,Loyal Customers
383,851,1,170.78,1,1,4,114,2.0,Lost
384,947,1,34.7,1,1,1,111,1.0,Lost
385,1061,1,43.55,1,1,1,111,1.0,Lost
387,151,2,313.95,4,4,5,445,4.333333333333333,Champions
389,21,2,106.86,5,4,3,543,4.0,Loyal Customers
392,1018,1,86.96,1,1,3,113,1.6666666666666667,Lost
393,349,2,174.26,3,4,4,344,3.6666666666666665,Loyal Customers
394,81,2,65.27,5,4,2,542,3.6666666666666665,Potential
395,16,1,299.1,5,1,5,515,3.6666666666666665,New Customers
396,24,2,102.52,5,4,3,543,4.0,Loyal Customers
399,960,1,161.9,1,1,4,114,2.0,Lost
400,435,1,131.52,3,1,3,313,2.3333333333333335,Potential
401,698,2,96.19,2,4,3,243,3.0,At Risk
406,779,1,126.91,1,1,3,113,1.6666666666666667,Lost
408,213,1,63.71,4,1,2,412,2.3333333333333335,New Customers
410,820,1,77.61,1,1,2,112,1.3333333333333333,Lost
412,371,3,285.47,3,5,5,355,4.333333333333333,Loyal Customers
413,716,1,15.75,2,1,1,211,1.3333333333333333,Lost
415,103,1,14.18,5,1,1,511,2.3333333333333335,New Customers
419,15,1,30.13,5,1,1,511,2.3333333333333335,New Customers
423,556,2,103.06,2,4,3,243,3.0,At Risk
424,4,1,69.02,5,1,2,512,2.6666666666666665,New Customers
425,235,3,152.6,4,5,4,454,4.333333333333333,Champions
426,549,2,299.41,2,4,5,245,3.6666666666666665,At Risk
428,402,2,251.18,3,4,5,345,4.0,Loyal Customers
429,554,1,146.85,2,1,4,214,2.3333333333333335,Lost
433,796,1,73.57,1,1,2,112,1.3333333333333333,Lost
435,792,1,33.93,1,1,1,111,1.0,Lost
437,243,1,99.3,4,1,3,413,2.6666666666666665,New Customers
438,740,2,264.08,2,4,5,245,3.6666666666666665,At Risk
439,679,1,42.0,2,1,1,211,1.3333333333333333,Lost
440,13,3,817.01,5,5,5,555,5.0,Champions
442,404,1,50.68,3,1,2,312,2.0,Potential
445,851,1,11.17,1,1,1,111,1.0,Lost
447,613,1,169.6,2,1,4,214,2.3333333333333335,Lost
448,326,2,198.42000000000002,3,4,4,344,3.6666666666666665,Loyal Customers
449,273,3,220.20000000000002,4,5,4,454,4.333333333333333,Champions
450,590,1,34.9,2,1,1,211,1.3333333333333333,Lost
452,5,1,59.43,5,1,2,512,2.6666666666666665,New Customers
453,60,1,72.92,5,1,2,512,2.6666666666666665,New Customers
454,771,1,25.84,2,1,1,211,1.3333333333333333,Lost
455,307,3,660.4100000000001,4,5,5,455,4.666666666666667,Champions
456,117,1,82.99,5,1,3,513,3.0,New Customers
457,1054,1,49.51,1,1,2,112,1.3333333333333333,Lost
459,222,4,209.11,4,5,4,454,4.333333333333333,Champions
463,500,3,261.12,3,5,5,355,4.333333333333333,Loyal Customers
464,793,1,80.36,1,1,2,112,1.3333333333333333,Lost
465,135,2,155.82,5,4,4,544,4.333333333333333,Champions
467,448,2,170.5,3,4,4,344,3.6666666666666665,Loyal Customers
468,56,2,457.6,5,4,5,545,4.666666666666667,Champions
469,934,1,213.98,1,1,4,114,2.0,Lost
470,1020,1,161.28,1,1,4,114,2.0,Lost
471,25,1,91.14,5,1,3,513,3.0,New Customers
472,531,1,277.95,2,1,5,215,2.6666666666666665,Lost
473,1094,1,48.22,1,1,2,112,1.3333333333333333,Lost
475,349,1,12.89,3,1,1,311,1.6666666666666667,Potential
476,444,3,310.12,3,5,5,355,4.333333333333333,Loyal Customers
478,469,1,166.44,3,1,4,314,2.6666666666666665,Potential
479,399,2,142.2,3,4,4,344,3.6666666666666665,Loyal Customers
480,235,1,70.48,4,1,2,412,2.3333333333333335,New Customers
481,701,1,22.17,2,1,1,211,1.3333333333333333,Lost
482,409,3,209.85,3,5,4,354,4.0,Loyal Customers
484,587,1,87.61,2,1,3,213,2.0,Lost
485,828,1,52.89,1,1,2,112,1.3333333333333333,Lost
487,1077,1,343.66,1,1,5,115,2.3333333333333335,Lost
490,422,1,73.9,3,1,2,312,2.0,Potential
491,391,1,37.28,3,1,1,311,1.6666666666666667,Potential
492,23,1,130.42,5,1,3,513,3.0,New Customers
493,16,1,77.56,5,1,2,512,2.6666666666666665,New Customers
494,1,3,299.51,5,5,5,555,5.0,Champions
497,548,1,186.87,2,1,4,214,2.3333333333333335,Lost
498,731,2,25.95,2,4,1,241,2.3333333333333335,At Risk
499,125,1,32.84,5,1,1,511,2.3333333333333335,New Customers
501,797,2,220.31,1,4,4,144,3.0,At Risk
502,891,1,87.85,1,1,3,113,1.6666666666666667,Lost
504,270,1,98.88,4,1,3,413,2.6666666666666665,New Customers
505,97,1,125.24,5,1,3,513,3.0,New Customers
506,1012,1,132.72,1,1,3,113,1.6666666666666667,Lost
507,123,2,164.66,5,4,4,544,4.333333333333333,Champions
508,205,2,101.76,4,4,3,443,3.6666666666666665,Loyal Customers
509,840,2,212.73000000000002,1,4,4,144,3.0,At Risk
510,121,1,125.75,5,1,3,513,3.0,New Customers
512,789,1,68.63,1,1,2,112,1.3333333333333333,Lost
513,755,1,48.63,2,1,2,212,1.6666666666666667,Lost
514,489,3,437.6,3,5,5,355,4.333333333333333,Loyal Customers
515,185,4,436.66999999999996,4,5,5,455,4.666666666666667,Champions
516,853,1,141.2,1,1,4,114,2.0,Lost
518,304,2,296.19,4,4,5,445,4.333333333333333,Champions
519,369,2,100.2,3,4,3,343,3.3333333333333335,Loyal Customers
523,826,1,104.85,1,1,3,113,1.6666666666666667,Lost
524,251,2,227.15,4,4,5,445,4.333333333333333,Champions
527,209,2,259.17,4,4,5,445,4.333333333333333,Champions
528,379,1,67.46,3,1,2,312,2.0,Potential
530,303,3,391.45,4,5,5,455,4.666666666666667,Champions
533,373,1,92.14,3,1,3,313,2.3333333333333335,Potential
534,48,2,99.11,5,4,3,543,4.0,Loyal Customers
535,714,1,73.99,2,1,2,212,1.6666666666666667,Lost
537,333,2,94.68,3,4,3,343,3.3333333333333335,Loyal Customers
539,144,2,472.08000000000004,4,4,5,445,4.333333333333333,Champions
542,195,1,123.47,4,1,3,413,2.6666666666666665,New Customers
543,55,1,73.36,5,1,2,512,2.6666666666666665,New Customers
546,566,1,65.56,2,1,2,212,1.6666666666666667,Lost
547,618,1,92.88,2,1,3,213,2.0,Lost
549,68,1,73.04,5,1,2,512,2.6666666666666665,New Customers
550,189,2,246.13,4,4,5,445,4.333333333333333,Champions
551,814,2,284.1,1,4,5,145,3.3333333333333335,At Risk
552,16,2,198.66,5,4,4,544,4.333333333333333,Champions
553,595,1,167.12,2,1,4,214,2.3333333333333335,Lost
555,29,2,203.32999999999998,5,4,4,544,4.333333333333333,Champions
557,763,1,228.58,2,1,5,215,2.6666666666666665,Lost
558,401,1,36.69,3,1,1,311,1.6666666666666667,Potential
560,1066,1,48.57,1,1,2,112,1.3333333333333333,Lost
561,407,2,154.14999999999998,3,4,4,344,3.6666666666666665,Loyal Customers
562,136,2,622.0600000000001,5,4,5,545,4.666666666666667,Champions
563,304,2,119.91999999999999,4,4,3,443,3.6666666666666665,Loyal Customers
566,868,1,128.44,1,1,3,113,1.6666666666666667,Lost
568,529,2,192.45999999999998,2,4,4,244,3.3333333333333335,At Risk
570,754,2,148.67,2,4,4,244,3.3333333333333335,At Risk
571,989,1,80.2,1,1,2,112,1.3333333333333333,Lost
575,108,1,14.5,5,1,1,511,2.3333333333333335,New Customers
576,447,1,98.94,3,1,3,313,2.3333333333333335,Potential
577,551,1,20.88,2,1,1,211,1.3333333333333333,Lost
578,1093,1,126.17,1,1,3,113,1.6666666666666667,Lost
579,693,2,416.23,2,4,5,245,3.6666666666666665,At Risk
580,877,1,130.92,1,1,3,113,1.6666666666666667,Lost
581,799,1,93.74,1,1,3,113,1.6666666666666667,Lost
583,83,1,17.49,5,1,1,511,2.3333333333333335,New Customers
584,881,1,16.59,1,1,1,111,1.0,Lost
589,794,2,140.16,1,4,4,144,3.0,At Risk
590,422,1,26.66,3,1,1,311,1.6666666666666667,Potential
591,993,1,77.29,1,1,2,112,1.3333333333333333,Lost
594,549,2,65.85,2,4,2,242,2.6666666666666665,At Risk
596,617,1,50.96,2,1,2,212,1.6666666666666667,Lost
598,758,1,12.04,2,1,1,211,1.3333333333333333,Lost
599,276,2,246.92000000000002,4,4,5,445,4.333333333333333,Champions
600,346,1,41.19,3,1,1,311,1.6666666666666667,Potential
601,247,2,306.76,4,4,5,445,4.333333333333333,Champions
602,1006,1,9.99,1,1,1,111,1.0,Lost
603,431,2,227.26,3,4,5,345,4.0,Loyal Customers
605,3,4,178.4,5,5,4,554,4.666666666666667,Champions
606,294,2,336.47,4,4,5,445,4.333333333333333,Champions
607,866,1,73.34,1,1,2,112,1.3333333333333333,Lost
608,30,2,187.49,5,4,4,544,4.333333333333333,Champions
609,620,1,22.63,2,1,1,211,1.3333333333333333,Lost
613,109,2,394.46000000000004,5,4,5,545,4.666666666666667,Champions
617,509,1,128.05,3,1,3,313,2.3333333333333335,Potential
618,248,2,435.64,4,4,5,445,4.333333333333333,Champions
620,511,1,74.88,3,1,2,312,2.0,Potential
621,299,1,53.18,4,1,2,412,2.3333333333333335,New Customers
625,415,2,108.93,3,4,3,343,3.3333333333333335,Loyal Customers
626,317,2,195.8,4,4,4,444,4.0,Champions
629,282,2,177.64,4,4,4,444,4.0,Champions
630,911,1,124.6,1,1,3,113,1.6666666666666667,Lost
631,1004,1,160.1,1,1,4,114,2.0,Lost
632,398,1,44.34,3,1,1,311,1.6666666666666667,Potential
639,775,1,57.0,1,1,2,112,1.3333333333333333,Lost
642,41,5,319.27,5,5,5,555,5.0,Champions
643,3,2,361.64,5,4,5,545,4.666666666666667,Champions
646,829,2,102.02,1,4,3,143,2.6666666666666665,At Risk
647,16,2,133.39,5,4,3,543,4.0,Loyal Customers
649,672,2,237.69,2,4,5,245,3.6666666666666665,At Risk
650,1083,1,40.4,1,1,1,111,1.0,Lost
651,448,3,456.72999999999996,3,5,5,355,4.333333333333333,Loyal Customers
652,508,1,73.91,3,1,2,312,2.0,Potential
655,415,1,118.92,3,1,3,313,2.3333333333333335,Potential
656,771,1,146.36,2,1,4,214,2.3333333333333335,Lost
657,457,1,93.59,3,1,3,313,2.3333333333333335,Potential
658,630,3,374.96000000000004,2,5,5,255,4.0,At Risk
659,124,1,350.4,5,1,5,515,3.6666666666666665,New Customers
661,496,1,86.45,3,1,3,313,2.3333333333333335,Potential
662,603,1,112.91,2,1,3,213,2.0,Lost
665,844,1,67.41,1,1,2,112,1.3333333333333333,Lost
666,654,1,67.92,2,1,2,212,1.6666666666666667,Lost
669,680,2,582.66,2,4,5,245,3.6666666666666665,At Risk
674,86,1,6.86,5,1,1,511,2.3333333333333335,New Customers
677,720,1,73.38,2,1,2,212,1.6666666666666667,Lost
681,185,2,436.35,4,4,5,445,4.333333333333333,Champions
682,48,2,368.38,5,4,5,545,4.666666666666667,Champions
683,182,2,75.06,4,4,2,442,3.3333333333333335,Potential
684,734,3,152.56,2,5,4,254,3.6666666666666665,At Risk
686,24,1,666.4,5,1,5,515,3.6666666666666665,New Customers
688,775,1,97.1,1,1,3,113,1.6666666666666667,Lost
689,969,1,74.12,1,1,2,112,1.3333333333333333,Lost
690,20,1,17.82,5,1,1,511,2.3333333333333335,New Customers
696,150,2,122.63,4,4,3,443,3.6666666666666665,Loyal Customers
698,380,2,93.86999999999999,3,4,3,343,3.3333333333333335,Loyal Customers
699,379,2,178.19,3,4,4,344,3.6666666666666665,Loyal Customers
702,313,2,128.72,4,4,3,443,3.6666666666666665,Loyal Customers
705,384,2,175.61,3,4,4,344,3.6666666666666665,Loyal Customers
706,746,2,342.08000000000004,2,4,5,245,3.6666666666666665,At Risk
707,1082,1,501.96,1,1,5,115,2.3333333333333335,Lost
709,564,3,400.07,2,5,5,255,4.0,At Risk
712,672,1,71.93,2,1,2,212,1.6666666666666667,Lost
714,124,1,31.2,5,1,1,511,2.3333333333333335,New Customers
720,891,1,348.48,1,1,5,115,2.3333333333333335,Lost
722,308,1,212.26,4,1,4,414,3.0,New Customers
723,797,3,117.74,1,5,3,153,3.0,At Risk
724,426,1,80.72,3,1,2,312,2.0,Potential
725,816,2,79.85,1,4,2,142,2.3333333333333335,At Risk
726,380,1,81.58,3,1,2,312,2.0,Potential
727,246,3,172.44,4,5,4,454,4.333333333333333,Champions
728,747,1,149.42,2,1,4,214,2.3333333333333335,Lost
730,427,3,243.03000000000003,3,5,5,355,4.333333333333333,Loyal Customers
731,584,1,199.24,2,1,4,214,2.3333333333333335,Lost
732,15,2,274.3,5,4,5,545,4.666666666666667,Champions
733,1010,1,40.61,1,1,1,111,1.0,Lost
735,302,1,53.42,4,1,2,412,2.3333333333333335,New Customers
738,63,1,88.12,5,1,3,513,3.0,New Customers
739,309,1,152.68,4,1,4,414,3.0,New Customers
740,412,1,40.79,3,1,1,311,1.6666666666666667,Potential
742,850,1,171.43,1,1,4,114,2.0,Lost
743,27,2,279.77,5,4,5,545,4.666666666666667,Champions
744,727,1,69.69,2,1,2,212,1.6666666666666667,Lost
746,796,1,28.83,1,1,1,111,1.0,Lost
747,206,2,77.24,4,4,2,442,3.3333333333333335,Potential
748,259,3,264.12,4,5,5,455,4.666666666666667,Champions
749,184,2,61.09,4,4,2,442,3.3333333333333335,Potential
750,199,1,103.79,4,1,3,413,2.6666666666666665,New Customers
751,555,2,149.42,2,4,4,244,3.3333333333333335,At Risk
752,748,2,43.0,2,4,1,241,2.3333333333333335,At Risk
754,311,1,71.9,4,1,2,412,2.3333333333333335,New Customers
755,1077,1,55.34,1,1,2,112,1.3333333333333333,Lost
756,41,3,225.99,5,5,5,555,5.0,Champions
761,189,1,55.85,4,1,2,412,2.3333333333333335,New Customers
762,996,1,20.43,1,1,1,111,1.0,Lost
763,216,2,319.21,4,4,5,445,4.333333333333333,Champions
765,1035,1,6.61,1,1,1,111,1.0,Lost
766,37,1,188.61,5,1,4,514,3.3333333333333335,New Customers
767,18,3,246.97,5,5,5,555,5.0,Champions
768,1086,1,363.9,1,1,5,115,2.3333333333333335,Lost
769,531,2,162.26,2,4,4,244,3.3333333333333335,At Risk
770,1091,1,48.86,1,1,2,112,1.3333333333333333,Lost
